"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@oliverpeterson I think there egos have over taken any rational thought.
Langer kept them in place and they didn't… https://t.co/ZHKoXzBwm9",FALSE,1,"oliverpeterson",2022-11-05 05:55:55,TRUE,"1588757897173151745","1588772076118499328","30758456","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ryderslament",0,FALSE,FALSE,,
"Post this WC, Virat made his Test debut against WI at Kingston. Although he had a disaster series being troubled by… https://t.co/nLI3DmSru2",FALSE,1,"Hriday1812",2022-11-05 05:55:54,TRUE,"1588593558688497664","1588772073740341248","1381559969787486208","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hriday1812",0,FALSE,FALSE,,
"Elon musk will be disaster for twitter..",FALSE,0,,2022-11-05 05:55:53,FALSE,,"1588772068480675840",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","T5sTem",0,FALSE,FALSE,,
"RT @YussufMwinyi: The North Eastern county officials who constitute biggest investors and property owners in Nairobi, after looting their c…",FALSE,0,,2022-11-05 05:55:49,FALSE,,"1588772050503892993",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1nelima",82,TRUE,FALSE,,
"RT @1024updates: [📋] ATEEZ donated 100 million won to the Hope Bridge National Disaster Relief Association following the Itaewon tragedy.…",FALSE,0,,2022-11-05 05:55:48,FALSE,,"1588772044619264000",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sanshineren",3382,TRUE,FALSE,,
"RT @rapplerdotcom: There are now 155 reported deaths due to Severe Tropical Storm Paeng (Nalgae), while 34 people remain missing, the Natio…",FALSE,0,,2022-11-05 05:55:47,FALSE,,"1588772043637796865",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","goohaewon",7,TRUE,FALSE,,
"The impending midterm disaster about to unfold in the US is what happens when you don't rapidly move to prosecute a… https://t.co/MJ4G1bexsV",FALSE,0,,2022-11-05 05:55:47,TRUE,,"1588772041574219777",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BenjaminIGreen",0,FALSE,FALSE,,
"@TheView The last two years have been a DISASTER for our country. Antifa riots, looting, historic crime, open borde… https://t.co/69UqNPZb0P",FALSE,0,"TheView",2022-11-05 05:55:46,TRUE,"1588682506097725440","1588772037530910720","21258337","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NCdog1",0,FALSE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 05:55:45,FALSE,,"1588772033940553728",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","korgblommiga",8164,TRUE,FALSE,,
"This will turn into a disaster 💀",FALSE,1,,2022-11-05 05:55:41,FALSE,,"1588772018950123520",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rkikart",0,FALSE,FALSE,,
